id,instruction,input,output,source,topic
1947,Act as a recovery-support counselor and encourage reflection and a realistic next step.,"I can stay away from drugs for a while, then the cravings become strong.","You have already shown that you can stay away for periods of time. What usually happens just before a craving becomes strongest, and what has helped you get through a craving safely? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - cravings
1948,Act as a recovery-support counselor and encourage reflection and a realistic next step.,Part of me wants recovery and another part of me still wants to use.,"It is possible to have mixed feelings about recovery. What are the strongest reasons you want to stop, and what do you feel you would be giving up by stopping? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - mixed feelings
1949,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I feel ashamed because I promised myself I would stop.,It sounds like you are carrying a lot of shame. You deserve support rather than judgment. What would be one compassionate and realistic step you could take toward recovery today? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - shame
1950,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Not really. I mean, I just normally see if my mom can watch my son, so, you know, I haven't really looked around.","Okay. Yeah. It sounds like from everything you're saying, that keeps coming up as one of the main issues. Um, so there may be some resources I can point you towards, but I'm- guess I'm wondering, have you looked into alternatives, more affordable, reliable childcare?",AnnoMI-derived authentic counseling turn,substance-use counseling
1951,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I guess I can cut down some.,"My perspective as a doctor, it would be good if you could think about cutting back a little bit or doing something different about your drinking. What-what do you think about that?",AnnoMI-derived authentic counseling turn,substance-use counseling
1952,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Mm-hmm, mm-hmm. And so when you go to parties, most of the time there's alcohol there?",AnnoMI-derived authentic counseling turn,substance-use counseling
1953,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, like I-I know I just can't cut off my friends altogether.","I want the friends and the relationship that I get from my friends, and at the same time, I don't want the party scene that goes with that.",AnnoMI-derived authentic counseling turn,substance-use counseling
1954,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I guess, it sounds like a lot when you say [chuckles] like that. But yeah.","Okay. So it sounds like you're drinking about four times a week, anywhere between three and eight drinks on a given day. So, maybe around 20 drinks a week?",AnnoMI-derived authentic counseling turn,substance-use counseling
1955,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, so, that was the thing that, like, was really the most weird about doing those-",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1956,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I would say an eight.,"Okay. So we're working on a 10 point of scale 1 to 10, 1 being not important, 10 being very important. One being not confident, one being very confident. So on a scale of 1 to 10, which number best reflects how important it is to you to drink the-- what risk limits?",AnnoMI-derived authentic counseling turn,substance-use counseling
1957,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Mm-hmm. Yes, sometimes I feel worse after drinking.","Right. By the way, binge drinking is defined for women as having more than, uh, three drinks and there are about five drinks in a bottle. So, you enjoy drinking wine because it helps make things, uh, a little bit more interesting when you're feeling down but at the same time you don't like drinking when you have more than you want it to and then the depression returns after you drink.",AnnoMI-derived authentic counseling turn,substance-use counseling
1958,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I think it's important because I've-- I feel I'm a bad role model for my children, and my daughter's turning 12, and already, some of her friends have tried smoking, so I don't want her to think it's a good thing.","So I get the impression that there are some things that you're concerned about, but that overall, coming in here wasn't necessarily the first thing that was on your mind when you came to the hospital with your daughter. Um, so can you tell me, what was it that made it possible for you to even come in? What-what were some of the things you were thinking about?",AnnoMI-derived authentic counseling turn,substance-use counseling
1959,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Definitely.,"So it really depends on what the activity is, whether or not alcohol is gonna be there?",AnnoMI-derived authentic counseling turn,substance-use counseling
1960,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I want to rebuild trust with my family after my drug use.,"Rebuilding trust can take time, and your wish to repair those relationships is meaningful. What is one consistent action you could take that would show your family you are working toward recovery? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - family trust
1961,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I mean exercise, but really, you know, I have the mindset, you know, like, okay, tomorrow I'm going to get up and I'm going to do this, but I really am not a follow-through type of person with this.","Yes, it is true. Yeah. It is. I mean, people don't come walking through the door who are not interested in it, you know? So, um, yeah, so that's-- So you'd be interested in something like that and, um, what- what other ideas have you thought about that would work for you?",AnnoMI-derived authentic counseling turn,substance-use counseling
1962,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Hmm, I like to have a cigarette after I eat. It sort of tells my brain I'm finished, stop eating, I'm full. So it's a- it's a way to-- you know, sometimes I'll have a cigarette instead of a snack, so it's a way to control my weight.",What else? Tell me what else is good about it.,AnnoMI-derived authentic counseling turn,substance-use counseling
1963,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Sound good.,All right.,AnnoMI-derived authentic counseling turn,substance-use counseling
1964,Provide a non-judgmental counseling response to a person struggling with drug use.,Part of me wants recovery and another part of me still wants to use.,"It is possible to have mixed feelings about recovery. What are the strongest reasons you want to stop, and what do you feel you would be giving up by stopping? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - mixed feelings
1965,Use motivational interviewing principles to respond to this substance-use concern.,I have been using drugs again and I feel like I am losing control.,Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? You do not have to figure everything out at once. We can focus on one manageable step.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
1966,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I don't think it's going to hurt me.","We know marijuana has effects on the developing brain. For example, it can make it harder for you to concentrate, it can make it harder for you to remember things, and vaping can seriously hurt your lungs. About one in six people who begin using marijuana as a teenager, later on, become addicted. So what do you think about all this information that I've shared?",AnnoMI-derived authentic counseling turn,substance-use counseling
1967,Provide a non-judgmental counseling response to a person struggling with drug use.,I feel ashamed because I promised myself I would stop.,"It sounds like you are carrying a lot of shame. You deserve support rather than judgment. What would be one compassionate and realistic step you could take toward recovery today? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - shame
1968,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Right.,"So, here you are. You're an honors student. You're a star athlete. You've, kind of, been doing everything you've been told for all these years, and maybe last month sometime, you started getting more involved in the party scene.",AnnoMI-derived authentic counseling turn,substance-use counseling
1969,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yep.,-it's just that that we're gonna try and drill down a little more into just to pick up for you what-what you think might be going on and what you think might be some of the options for you.,AnnoMI-derived authentic counseling turn,substance-use counseling
1970,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I do not think my drug use is as serious as my family thinks.,"It sounds like you and your family see the situation differently. Rather than judging you, I would like to understand your view. What concerns, if any, do you have about your drug use? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - readiness
1971,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, on a scale of 1 to 10-","So, what number do you think you'd say?",AnnoMI-derived authentic counseling turn,substance-use counseling
1972,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Just to, uh, but um-- I is-is-- I think the weekdays is what I really need to do.",Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
1973,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I like that piece of jewelry, can I? [laughs]","-whereas like, you can't go up to him and say, ""Hey, can I have some of your McDonald's French fries,"" and take them out—",AnnoMI-derived authentic counseling turn,substance-use counseling
1974,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I feel like one relapse means I have failed completely.,One setback does not define your whole recovery. What did you learn from this experience that could help you make a different choice the next time you face a similar situation? Your willingness to talk about this is already a meaningful step. We can work through it gradually.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - reframing relapse
1975,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I pretty much just have a drink to just have it like, so it looks like I'm drinking, even though I'm not.",Okay. Can you tell me a little bit about how alcohol fits into your overall social scene?,AnnoMI-derived authentic counseling turn,substance-use counseling
1976,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"Great. So, let's see how well you're doing with these new meds.",AnnoMI-derived authentic counseling turn,substance-use counseling
1977,Provide a non-judgmental counseling response to a person struggling with drug use.,I want to rebuild trust with my family after my drug use.,"Rebuilding trust can take time, and your wish to repair those relationships is meaningful. What is one consistent action you could take that would show your family you are working toward recovery? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - family trust
1978,Respond as a supportive addiction counselor using motivational interviewing.,I want to rebuild trust with my family after my drug use.,"Rebuilding trust can take time, and your wish to repair those relationships is meaningful. What is one consistent action you could take that would show your family you are working toward recovery?",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - family trust
1979,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"So, you were thinking because your-your friends weren't pressuring you to stop drinking, that-that it must be okay.",AnnoMI-derived authentic counseling turn,substance-use counseling
1980,Provide a non-judgmental counseling response to a person struggling with drug use.,I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
1981,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Over a long-- over a period of time.,Okay. Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
1982,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Maybe one or two weekends a month at the most?,-often do you think that you are around alcohol.,AnnoMI-derived authentic counseling turn,substance-use counseling
1983,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I didn't know about those things.","Well, uh, we know if someone binge drinks over time, there's kind of two categories of risk. There's the short-term risk where someone who binge drinks is more likely to fall down, hurt themselves through an accident, uh, they're more likely to drive while under the influence. Uh, but over the long term, binge drinking can also, uh, cause things like heart disease, uh, different kinds of cancer, liver problems obviously, and then even mental health issues like depression and anxiety are more likely to happen.",AnnoMI-derived authentic counseling turn,substance-use counseling
1984,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,"Generally, it works well if you find a time when you're not under a huge amount of other stresses and strains.",AnnoMI-derived authentic counseling turn,substance-use counseling
1985,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Okay, yeah, definitely.","Um, and then, then you'll be better set for college too because, you know, the issue is you're getting good grades now, but when you get to college, it's a lot harder and, you know, if you're needing really good grades to get into law school, which you will need, then you really can't be distracted by alcohol.",AnnoMI-derived authentic counseling turn,substance-use counseling
1986,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
1987,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I didn't realize that drinking was related to my blood pressure problems.","Okay. Okay, so that sounds-- I think that's great. So why would you be up at a six and not down at a two level? What kinds of thing would push you to be there?",AnnoMI-derived authentic counseling turn,substance-use counseling
1988,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,My parents or my friends?,You're concerned that they're gonna kind of treat you like a child.,AnnoMI-derived authentic counseling turn,substance-use counseling
1989,"Give a brief, empathetic counseling response focused on recovery and safety.",I have been avoiding people because I am embarrassed about my drug use.,"It sounds like embarrassment has been pushing you away from others. Is there one trusted person you would feel comfortable talking to, even if you are not ready to tell them everything? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - isolation
1990,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"If they didn't wanna hang out, well, then what have I got, I suppose?",Why?,AnnoMI-derived authentic counseling turn,substance-use counseling
1991,Act as a recovery-support counselor and encourage reflection and a realistic next step.,"I can stay away from drugs for a while, then the cravings become strong.","You have already shown that you can stay away for periods of time. What usually happens just before a craving becomes strongest, and what has helped you get through a craving safely? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - cravings
1992,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah. The-- My friends who don't drink would probably be happy that I'm not drinking either and yes, they'd support me.","Okay. Is there anybody in your life that you can talk to about this, who give you some support for not drinking?",AnnoMI-derived authentic counseling turn,substance-use counseling
1993,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, I think a sense of community and belonging.","Like belonging or sense of community. Again, cultural identity or family, friendship, modesty, religion, respect, self-determination and spirituality. So, when you think about yourself, which of these are kind of most important to you in terms of your life?",AnnoMI-derived authentic counseling turn,substance-use counseling
1994,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah. I think I can do that.,"Okay, great. So, the plan is gonna be that you're gonna quit and, um, the friends that you have that you don't think are supportive, you're just gonna, I guess, not hang out with anymore.",AnnoMI-derived authentic counseling turn,substance-use counseling
1995,Provide a non-judgmental counseling response to a person struggling with drug use.,I had a difficult day and immediately thought about using.,"It sounds like a difficult day quickly triggered the urge to use. What happened today, and what might help you respond differently if a similar situation happens again? You do not have to figure everything out at once. We can focus on one manageable step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - trigger awareness
1996,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I couldn't help myself.,"Uh, it's something that just happened.",AnnoMI-derived authentic counseling turn,substance-use counseling
1997,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Mm-hmm. Yeah, and—","Okay. So it's not something you wanna rely on, you don't see yourself continuing to use this. It's something that you'v found at least for the moment very helpful?",AnnoMI-derived authentic counseling turn,substance-use counseling
1998,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, liquor, whenever people are mixing, um, vodka, sometimes beer, but I don't like beer very much. Um, the drinks at parties are usually like vodka and orange juice or gin and tonics.",Okay. What kind of alcohol do you drink at parties?,AnnoMI-derived authentic counseling turn,substance-use counseling
1999,Respond as a supportive addiction counselor using motivational interviewing.,I want to rebuild trust with my family after my drug use.,"Rebuilding trust can take time, and your wish to repair those relationships is meaningful. What is one consistent action you could take that would show your family you are working toward recovery? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - family trust
2000,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Because I don't know I feel deter-determined to-to make sure this happens because I don't like how I felt after I-I betrayed my mother. I don't like remembering that the feeling of like vomiting.,Why did you say eight or nine rather than six or seven?,AnnoMI-derived authentic counseling turn,substance-use counseling
2001,"Give a brief, empathetic counseling response focused on recovery and safety.",I use drugs when I feel stressed and overwhelmed.,"You have noticed a connection between stress and drug use, which is useful information. What are some safer ways you have handled stress in the past, even if they only helped a little?",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - stress trigger
2002,Use motivational interviewing principles to respond to this substance-use concern.,I am worried that I will never be able to stay in recovery.,"It sounds like you are worried about your ability to maintain recovery. What is one time when you managed a difficult situation without using, and what helped you then? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - confidence
2003,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I-I never thought of it that way, but probably you're right.",So it's hard for you to quit smoking when everybody else around you is smoking. And it's so easy to go out and take a break and have a cigarette.,AnnoMI-derived authentic counseling turn,substance-use counseling
2004,Provide a non-judgmental counseling response to a person struggling with drug use.,I want to recover but I am afraid of what life will be like without drugs.,"That fear makes sense because recovery can involve major changes. What parts of life without drugs worry you most, and what kind of support might make those changes feel safer? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - fear of recovery
2005,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Right, do my homework and set up my like to have everything available to me.",Okay. Do your homework.,AnnoMI-derived authentic counseling turn,substance-use counseling
2006,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"Who-who-who, boys?",AnnoMI-derived authentic counseling turn,substance-use counseling
2007,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Okay.,"Okay. So, you know, as we said before, you're drinking-- it sounds like you're drinking about 20 drinks a week, over the course of a few days. And I did want to point out to you that the recommended limit for women is actually no more than seven drinks a week, and no more than three on a given day.",AnnoMI-derived authentic counseling turn,substance-use counseling
2008,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I've managed for a couple of weeks.,Have you managed to stop smoking in the past?,AnnoMI-derived authentic counseling turn,substance-use counseling
2009,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"So it's provided you don't-- you're not stupid with it. Then it's just a bit of fun but you can't really explain that to people who are-- have their walls up. So it's hard not to sit in this room full of people kind of going, ""Oh, you know, you really should stop the drugs, they're bad."" It's like, ""Well actually, you don't know what you're talking about.""",YHmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
2010,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I want to rebuild trust with my family after my drug use.,"Rebuilding trust can take time, and your wish to repair those relationships is meaningful. What is one consistent action you could take that would show your family you are working toward recovery? Your willingness to talk about this is already a meaningful step. We can work through it gradually.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - family trust
2011,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I can try each day to count.,And any thoughts about what concretely you could do to make that happen?,AnnoMI-derived authentic counseling turn,substance-use counseling
2012,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Right, right. Just like [inaudible 00:04:06] Or your chocolate and all that.","Yeah. And, um, the same with the Nicorette gum, because it- nicotine is an appetite suppressant.",AnnoMI-derived authentic counseling turn,substance-use counseling
2013,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, I'd like to see my children settled and my grandchildren growing up and I should,suppose I should be an example to them.",How important is it for you then to lose weight?,AnnoMI-derived authentic counseling turn,substance-use counseling
2014,Provide a non-judgmental counseling response to a person struggling with drug use.,I have been using drugs again and I feel like I am losing control.,"Thank you for being honest about that. It sounds like the drug use is feeling increasingly difficult to control. What would you most like to change about your situation right now? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - loss of control
2015,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,And that's led you to being here today?,AnnoMI-derived authentic counseling turn,substance-use counseling
2016,Use motivational interviewing principles to respond to this substance-use concern.,I feel like one relapse means I have failed completely.,One setback does not define your whole recovery. What did you learn from this experience that could help you make a different choice the next time you face a similar situation? Your willingness to talk about this is already a meaningful step. We can work through it gradually.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - reframing relapse
2017,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Yeah, yeah. I definitely wanted to get away from something. I didn't know what too, but then I arrived here and found this thing that was like actually, this was obviously, fate or whatever was pulling me to this thing-",-here to Auckland.,AnnoMI-derived authentic counseling turn,substance-use counseling
2018,"Give a brief, empathetic counseling response focused on recovery and safety.",Part of me wants recovery and another part of me still wants to use.,"It is possible to have mixed feelings about recovery. What are the strongest reasons you want to stop, and what do you feel you would be giving up by stopping? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - mixed feelings
2019,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I don't know. I'll do anything to get my kids back.,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
2020,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Uh, I do drink beer, I drink, you know, two to three pints on weekdays, sometimes on weekends, maybe four or five.","Okay, great. Um, do you drink alcohol, including beer or wine?",AnnoMI-derived authentic counseling turn,substance-use counseling
2021,"Give a brief, empathetic counseling response focused on recovery and safety.",I had a difficult day and immediately thought about using.,"It sounds like a difficult day quickly triggered the urge to use. What happened today, and what might help you respond differently if a similar situation happens again? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - trigger awareness
2022,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, you know, if there was some way that I could relieve some of my stress, I think I would feel better, and, you know, maybe at night, I wouldn't feel like I had to unwind in the same way.","So, I guess I'm wondering if you've given any thought to other ways in which you could cope with stress without relying on the drinking so much.",AnnoMI-derived authentic counseling turn,substance-use counseling
2023,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Right. Actually, I do want to speak to you about something that happened during this past weekend. Usually, as, you know, I'm, um, I'm an honor student. I-I usually I'm studying over the weekend and my parents don't let me go out to parties, but I kind of use that to my advantage, to convince my parents to go to this party that my friends were pressuring me to go to. And when I- when I got there, like I'm not used to this like party environment where everything you see in the movies is kind of what happens, where you have people just drinking out of the bottle-","All right, Chris, so I need to talk to you because as you know, we have a zero-tolerance policy for drugs and alcohol at this school. And as-as athletic director, it's my job to check in with our student-athletes and make sure everyone's adhering to that rule. And I've been hearing some chatter from some of the other kids about a party this weekend, and from what I hear, where you were there and, you know, I can't confirm or deny anything. So I'm not at the point where I can give you consequences, but I did want to talk to you about whether or not you're drinking and how, you know, you really can't be doing this as a member of one of our teams.",AnnoMI-derived authentic counseling turn,substance-use counseling
2024,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"And, I mean, I love her, you know, but I'm here because she's making me be here.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
2025,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, definitely, yeah. I mean, when I'm at parties and stuff and it's getting a little later, some people, um, that drink-- Like, drank too much, they start throwing up, or they get hurt, or they're really loud and obnoxious, and that's not fun for anybody.","Okay. And, any not-so-good things about alcohol?",AnnoMI-derived authentic counseling turn,substance-use counseling
2026,Use motivational interviewing principles to respond to this substance-use concern.,I feel like one relapse means I have failed completely.,One setback does not define your whole recovery. What did you learn from this experience that could help you make a different choice the next time you face a similar situation? There is no need to judge yourself while we explore what happened. Understanding the pattern can help you make a different choice.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - reframing relapse
2027,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"No, I don't- I don't, uh, really like the idea of taking pills. Uh, as a matter of fact, a couple of years ago, I had this jaw surgery. They gave me a prescription for Percocet. I took one, maybe feel weird. I think they're still sitting in the medicine cabinet.",Okay. Have you ever used any prescription medications that weren't prescribed for you or in a way that wasn't prescribed?,AnnoMI-derived authentic counseling turn,substance-use counseling
2028,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I understand that. I know it is. I mean, everybody has problems, right? It's just really-- It's really, really hard.","There's no reason why you shouldn't be able to quit, this is really important.",AnnoMI-derived authentic counseling turn,substance-use counseling
2029,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I know, I know. I've heard-- People have told me before, I've heard all that. I just don't know how to do it. How am I supposed to quit? It's-it's so hard.","Well, now's the time to quit. It's really gotten to the point where you can't keep smoking. Not only for him, like I said, but also for you. You're putting yourself at risk for lung cancer, for emphysema, for oral cancers, for heart disease, for all kinds of things-",AnnoMI-derived authentic counseling turn,substance-use counseling
2030,Provide a non-judgmental counseling response to a person struggling with drug use.,I want to recover but I am afraid of what life will be like without drugs.,"That fear makes sense because recovery can involve major changes. What parts of life without drugs worry you most, and what kind of support might make those changes feel safer?",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - fear of recovery
2031,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Well, it's just something that I do to relax, and I don't do it that often. And so I probably could cut back.","What's there to think about? [chuckles] You said it's not that something you do all that often, and there's all these negative side effects, there's all these risks that you're putting yourself in.",AnnoMI-derived authentic counseling turn,substance-use counseling
2032,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,It's very cool.,Okay.,AnnoMI-derived authentic counseling turn,substance-use counseling
2033,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,And kind of see how that goes. Because—,Uh-huh.,AnnoMI-derived authentic counseling turn,substance-use counseling
2034,Act as a recovery-support counselor and encourage reflection and a realistic next step.,I am worried that I will never be able to stay in recovery.,"It sounds like you are worried about your ability to maintain recovery. What is one time when you managed a difficult situation without using, and what helped you then? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - confidence
2035,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"The-- Um, it takes away a lot of my stresses.",Okay. What do you think you'll miss most about it?,AnnoMI-derived authentic counseling turn,substance-use counseling
2036,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,I understand.,"All right. Well, yeah. So the issue again is I can't be hearing reports about you drinking. I can't be hearing that you're at parties and you can't be seeing pictures on Facebook. You know, there-there are rules at this school and in my job, I have to enforce them. So, you know, like I said, I get it, you know-",AnnoMI-derived authentic counseling turn,substance-use counseling
2037,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, well, me and my friends kinda, uh, we party on the weekend and, you know, we're all university students and so it's just normal, um, to have a few drinks.",So what is a typical week for you as far as your alcohol use?,AnnoMI-derived authentic counseling turn,substance-use counseling
2038,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"I don't wanna hang on to freedom if it this- if it means that I lose my kids. Um, I'm just, uh, I'm just worried about-- I'm worried about if I move in with family, that they, even if their intentions are good-","In terms of that freedom and in charge of yourself, and the changes that we're talking about, and building your own family, and to enable you to do that, where do some of that freedom stuff sit with re-engaging back with your whānau and your children, your partner? Is it something you're gonna wanna hang on to, or how you're going to manage that?",AnnoMI-derived authentic counseling turn,substance-use counseling
2039,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,No matter what kinda talk I get or what they come up with.,Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
2040,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"And it has, but I don't do it as often, it's just sometimes.",Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
2041,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,You like to have a good time?,AnnoMI-derived authentic counseling turn,substance-use counseling
2042,Use motivational interviewing principles to respond to this substance-use concern.,I do not think my drug use is as serious as my family thinks.,"It sounds like you and your family see the situation differently. Rather than judging you, I would like to understand your view. What concerns, if any, do you have about your drug use? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - readiness
2043,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,And so that-that can't feel a little uncomfortable being by yourself. So that sounds like one of the reasons you have to quit is it's a little getting smelly and it's getting embarrassing.,AnnoMI-derived authentic counseling turn,substance-use counseling
